AIR_TIME,ARR,ARR_Pr,ARR_delay_time,ARR_delay_times,DEP,DEP_Pr,DEP_delay_time,DEP_delay_times,DISTANCE,total_flight
51.72588832,JAN,0.147208122,69.31034483,29,ATL,0.152284264,69.56666667,30,341,197
44.76180698,JAX,0.205338809,67.76,100,ATL,0.221765914,64.40740741,108,270,487
106.8047138,JFK,0.296296296,97.22727273,88,ATL,0.373737374,88.6036036,111,760,297
217.1754808,LAS,0.235576923,73.78571429,98,ATL,0.25,70.67307692,104,1747,416
238.7914013,LAX,0.178343949,68.25892857,112,ATL,0.25,62.04458599,157,1947,628
47.36160714,LEX,0.178571429,67.3,40,ATL,0.205357143,64.80434783,46,304,224
73.31623932,LFT,0.213675214,51.6,25,ATL,0.196581197,59.39130435,23,503,117
100.9866667,LGA,0.255757576,85.57345972,211,ATL,0.28969697,85.39330544,239,762,825
65.8952381,LIT,0.223809524,69.14893617,47,ATL,0.247619048,65.88461538,52,453,210
116.5416667,LNK,0.25,58.83333333,6,ATL,0.25,48.83333333,6,841,24
97.47184987,MCI,0.1769437,65.90909091,66,ATL,0.230563003,61.59302326,86,692,373
60.99615877,MCO,0.259923175,76.63054187,203,ATL,0.263764405,76.17961165,206,404,781
85.97701149,MDT,0.08045977,55.57142857,7,ATL,0.126436782,50.27272727,11,620,87
86.82180851,MDW,0.210106383,56.6835443,79,ATL,0.228723404,60.44186047,86,591,376
52.56701031,MEM,0.171821306,74.34,50,ATL,0.219931271,64.40625,64,332,291
31.21989529,MGM,0.193717277,55.45945946,37,ATL,0.167539267,58.78125,32,147,191
122.7666667,MHT,0.266666667,63.875,8,ATL,0.366666667,59.27272727,11,952,30
86.10051993,MIA,0.270363951,74.83974359,156,ATL,0.244367418,78.90780142,141,594,577
92.22377622,MKE,0.13986014,52.5,40,ATL,0.195804196,49.69642857,56,669,286
65.37704918,MLB,0.147540984,77.83333333,18,ATL,0.163934426,69.75,20,442,122
88.73913043,MLI,0.239130435,54.27272727,22,ATL,0.184782609,62.23529412,17,633,92
68.04504505,MLU,0.225225225,63.56,25,ATL,0.189189189,64.61904762,21,448,111
51.49065421,MOB,0.285046729,59.54098361,61,ATL,0.23364486,67.22,50,302,214
94.94495413,MSN,0.119266055,73.53846154,13,ATL,0.137614679,73.13333333,15,707,109
238.25,MSO,0.5,58,2,ATL,0.5,57,2,1800,4
124.8705036,MSP,0.175059952,61.83561644,73,ATL,0.230215827,61.38541667,96,907,417
63.08351178,MSY,0.21627409,77.16831683,101,ATL,0.248394004,69.94827586,116,425,467
48.69747899,MYR,0.12605042,73.8,15,ATL,0.168067227,63.45,20,317,119
62.19166667,OAJ,0.158333333,68.94736842,19,ATL,0.141666667,67.47058824,17,399,120
267.15625,OAK,0.203125,57.38461538,13,ATL,0.296875,51.78947368,19,2130,64
101.4367816,OKC,0.137931034,76.41666667,24,ATL,0.183908046,62.75,32,761,174
113.1721854,OMA,0.145695364,79.45454545,22,ATL,0.19205298,70.86206897,29,821,151
94.964,ORD,0.226666667,70.12352941,170,ATL,0.222666667,69.80239521,167,606,750
71.888,ORF,0.212,66.49056604,53,ATL,0.256,61.59375,64,516,250
81.19354839,PBI,0.2382134,62.875,96,ATL,0.272952854,59.25454545,110,545,403
278.4132653,PDX,0.18877551,70.59459459,37,ATL,0.168367347,80.21212121,33,2172,196
73.73684211,PHF,0.263157895,55.8,30,ATL,0.228070175,55.42307692,26,508,114
92.89372822,PHL,0.243902439,91.83571429,140,ATL,0.270034843,88.14193548,155,666,574
201.6928328,PHX,0.194539249,57.87719298,57,ATL,0.221843003,57.04615385,65,1587,293
84.87951807,PIA,0.108433735,55.11111111,9,ATL,0.096385542,40.875,8,565,83
73.04040404,PIT,0.141414141,69.76190476,42,ATL,0.215488215,59.8125,64,526,297
45.16942149,PNS,0.152892562,71.94594595,37,ATL,0.169421488,72.75609756,41,271,242
119,PVD,0.202247191,105.3333333,18,ATL,0.235955056,98.14285714,21,903,89
126.1136364,PWM,0.25,59.04545455,22,ATL,0.295454545,60.69230769,26,1027,88
159.8888889,RAP,0.222222222,26,2,ATL,0.111111111,27,1,1230,9
57.28285078,RDU,0.195991091,67.19318182,88,ATL,0.216035635,68.1443299,97,356,449
68.8806366,RIC,0.23872679,65.86666667,90,ATL,0.270557029,63.66666667,102,481,377
57.2875817,ROA,0.150326797,51.17391304,23,ATL,0.169934641,51.15384615,26,357,153
97.75280899,ROC,0.168539326,59.46666667,15,ATL,0.191011236,59.82352941,17,749,89
112.5384615,RST,0.211538462,72.81818182,11,ATL,0.211538462,77.45454545,11,831,52
74.92358804,RSW,0.205980066,59.69354839,62,ATL,0.22923588,55.10144928,69,515,301
230.7976654,SAN,0.147859922,62.73684211,38,ATL,0.186770428,62.91666667,48,1892,257
113.5273312,SAT,0.170418006,64.94339623,53,ATL,0.254019293,56.36708861,79,874,311
38.18691589,SAV,0.196261682,73.87301587,63,ATL,0.221183801,70.36619718,71,214,321
83.69354839,SBN,0.185483871,71.82608696,23,ATL,0.169354839,83.19047619,21,566,124
52.17647059,SDF,0.163865546,73.8974359,39,ATL,0.210084034,60.98,50,321,238
